Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
59924,The Lathe of Heaven,Ursula K. Le Guin,"Guin, Ursula K. Le",,"=""0060512741""","=""9780060512743""",0,4.12,Harper Perennial Modern Classics,Paperback,176,2003,1971,,2023/06/25,"to-read, fiction","to-read (#137), fiction (#208)",to-read,,,,0,0
12574016,Holding the Man,Timothy Conigrave,"Conigrave, Timothy",,"=""0143202820""","=""9780143202820""",0,4.39,Penguin Books,Paperback,300,2009,1995,,2023/04/10,"to-read, fiction","to-read (#132), fiction (#206)",to-read,,,,0,0
168668,Catch-22,Joseph Heller,"Heller, Joseph",,"=""0684833395""","=""9780684833392""",0,3.99,Simon & Schuster ,Paperback,453,2004,1961,,2023/06/26,"to-read, fiction","to-read (#138), fiction (#209)",to-read,,,,0,0
2187,Middlesex,Jeffrey Eugenides,"Eugenides, Jeffrey",,"=""0312422156""","=""9780312422158""",0,4.03,Picador USA,Paperback,529,2002,2002,,2023/07/19,"to-read, fiction","to-read (#146), fiction (#212)",to-read,,,,0,0
56257047,"Sir Gawain and the Green Knight, Pearl and Sir Orfeo",Unknown,"Unknown, Unknown","J.R.R. Tolkien, Christopher Tolkien","=""0008433933""","=""9780008433932""",0,3.98, HarperCollins Publishers,Paperback,256,2021,1975,,2023/03/06,"to-read, fiction","to-read (#122), fiction (#202)",to-read,,,,0,0
53601751,Charis in the World of Wonders: A Novel Set in Puritan New England,Marly Youmans,"Youmans, Marly",,"=""1642291110""","=""9781642291117""",0,3.99,Ignatius Press,Kindle Edition,334,2020,,,2023/03/17,"to-read, fiction","to-read (#123), fiction (#203)",to-read,,,,0,0
13484894,A Death at the White Camellia Orphanage,Marly Youmans,"Youmans, Marly",,"=""0881462713""","=""9780881462715""",0,4.11,Mercer University Press,Hardcover,288,2012,2012,,2023/03/17,"to-read, fiction","to-read (#124), fiction (#204)",to-read,,,,0,0
27390373,Late Fame,Arthur Schnitzler,"Schnitzler, Arthur",Alexander Starritt,"=""1782272208""","=""9781782272205""",0,3.76,Pushkin Press,Kindle Edition,116,2015,2014,,2023/03/18,"to-read, fiction","to-read (#125), fiction (#205)",to-read,,,,0,0
6318217,The Legend of Sigurd & Gudrún,J.R.R. Tolkien,"Tolkien, J.R.R.",Christopher Tolkien,"=""0547273428""","=""9780547273426""",0,3.87,Houghton Mifflin Harcourt,Hardcover,377,2009,2009,,2023/02/19,"to-read, fiction","to-read (#120), fiction (#201)",to-read,,,,0,0
44282599,Trick Mirror: Reflections on Self-Delusion,Jia Tolentino,"Tolentino, Jia",,"=""0008294941""","=""""",0,4.06,Fourth Estate,Kindle Edition,306,2019,2019,,2023/07/28,"to-read, non-fiction","to-read (#148), non-fiction (#62)",to-read,,,,0,0
31944929,"Optimism over Despair: On Capitalism, Empire, and Social Change",Noam Chomsky,"Chomsky, Noam",C.J. Polychroniou,"=""1608467996""","=""9781608467990""",0,3.71,Haymarket Books,Paperback,210,2017,2017,,2023/07/12,"to-read, non-fiction","to-read (#143), non-fiction (#59)",to-read,,,,0,0
20758057,Empire of Cotton: A Global History,Sven Beckert,"Beckert, Sven",,"=""0375414142""","=""9780375414145""",0,3.88,Knopf,Hardcover,640,2014,2014,,2023/07/01,"to-read, non-fiction","to-read (#139), non-fiction (#57)",to-read,,,,0,0
12615,Media Control: The Spectacular Achievements of Propaganda,Noam Chomsky,"Chomsky, Noam",,"=""1583225366""","=""9781583225363""",0,4.02,Seven Stories Press,Paperback,103,2002,1995,,2023/07/12,"to-read, non-fiction","to-read (#144), non-fiction (#60)",to-read,,,,0,0
28514478,Who Rules the World? (American Empire Project),Noam Chomsky,"Chomsky, Noam",,"=""162779381X""","=""9781627793810""",0,4.05,Metropolitan Books/Henry Holt & Co. (NYC),Hardcover,320,2016,2014,,2023/07/12,"to-read, non-fiction","to-read (#142), non-fiction (#58)",to-read,,,,0,0
40163119,Say Nothing: A True Story of Murder and Memory in Northern Ireland,Patrick Radden Keefe,"Keefe, Patrick Radden",,"=""0385521316""","=""9780385521314""",0,4.45,Doubleday,Hardcover,441,2019,2018,,2023/07/21,"to-read, non-fiction","to-read (#147), non-fiction (#61)",to-read,,,,0,0
27833494,Dark Money: The Hidden History of the Billionaires Behind the Rise of the Radical Right,Jane Mayer,"Mayer, Jane",,"=""""","=""""",0,4.30,Doubleday,ebook,464,2016,2016,,2023/06/17,"to-read, non-fiction","to-read (#136), non-fiction (#56)",to-read,,,,0,0
19213999,The Origin of Species (Collins Classics),Charles Darwin,"Darwin, Charles",,"=""0007477422""","=""9780007477425""",0,4.01,William Collins,Kindle Edition,192,2012,1859,,2023/06/04,"to-read, non-fiction","to-read (#140), non-fiction (#55)",to-read,,,,0,0
40664392,Chernobyl,Serhii Plokhy,"Plokhy, Serhii",,"=""0141988355""","=""9780141988351""",0,4.23,Penguin Press,Paperback,404,2019,2018,,2023/06/04,"to-read, non-fiction","to-read (#133), non-fiction (#53)",to-read,,,,0,0
18137694,Capital: Volumes One and Two,Karl Marx,"Marx, Karl","Samuel Moore, Edward Aveling, Ernest Untermann, Mark G. Spencer","=""1840226994""","=""9781840226997""",0,4.20,Wordsworth Editions Limited,Paperback,1136,2013,,,2023/06/04,"to-read, non-fiction","to-read (#134), non-fiction (#54)",to-read,,,,0,0
22501993,Alan Turing: The Enigma,Andrew Hodges,"Hodges, Andrew",Douglas R. Hofstadter,"=""069116472X""","=""9780691164724""",0,3.74,Princeton University Press,Paperback,768,2014,1983,,2023/04/08,"to-read, non-fiction","to-read (#131), non-fiction (#52)",to-read,,,,0,0
57655302,Istoria Evului Mediu: o mie de ani de splendoare și ticăloșie,Georges Minois,"Minois, Georges",Doru Mareș,"=""606430684X""","=""""",0,4.24,Nemira,Paperback,544,2021,2016,,2023/02/19,"to-read, non-fiction","to-read (#121), non-fiction (#51)",to-read,,,,0,0
1221763,The Black Riviera (Wesleyan Poetry Series),Mark Jarman,"Jarman, Mark",,"=""0819511722""","=""9780819511720""",0,3.68,Wesleyan University Press,Paperback,64,1990,1990,,2023/03/28,"to-read, poetry","to-read (#129), poetry (#24)",to-read,,,,0,0
4360768,Mountain Tea,Peter Van Toorn,"Toorn, Peter Van",,"=""1550651692""","=""9781550651690""",0,3.78,Véhicule Press,Paperback,144,2004,2004,,2023/03/19,"to-read, poetry","to-read (#126), poetry (#21)",to-read,,,,0,0
29242877,Only Dull People Are Brilliant at Breakfast,Oscar Wilde,"Wilde, Oscar",,"=""024125180X""","=""9780241251805""",0,3.93,Penguin Books ,Paperback,52,2016,2016,,2023/03/24,"to-read, poetry","to-read (#127), poetry (#22)",to-read,,,,0,0
36436104,Death the Barber,William Carlos Williams,"Williams, William Carlos",,"=""0241339820""","=""9780241339824""",0,3.42,PENGUIN UK,Paperback,56,2018,,,2023/03/28,"to-read, poetry","to-read (#128), poetry (#23)",to-read,,,,0,0
61024701,Tyll,Daniel Kehlmann,"Kehlmann, Daniel",,"=""""","=""9786069784518""",0,3.94,Pandora M,Paperback,384,2022,2017,,2023/01/12,"to-read, fiction","to-read (#106), fiction (#196)",to-read,,,,0,0
